LSOA_Code,LSOA_Name
E01000510,Brent 014C
E01000511,Brent 014D
E01000512,Brent 018D
E01000513,Brent 002A
E01000514,Brent 002B
E01000515,Brent 003A
E01000516,Brent 002C
E01000517,Brent 003B
E01000518,Brent 005A
E01000519,Brent 005B
E01000520,Brent 002D
E01000521,Brent 025B
E01000522,Brent 025C
E01000523,Brent 031A
E01000524,Brent 031B
E01000525,Brent 031C
E01000526,Brent 025D
E01000527,Brent 025E
E01000528,Brent 025F
E01000530,Brent 033A
E01000531,Brent 033B
E01000532,Brent 033C
E01000533,Brent 031E
E01000534,Brent 033D
E01000535,Brent 031F
E01000536,Brent 004A
E01000538,Brent 004B
E01000539,Brent 004C
E01000540,Brent 004D
E01000541,Brent 004E
E01000543,Brent 003E
E01000544,Brent 034A
E01000545,Brent 028A
E01000546,Brent 028B
E01000547,Brent 028C
E01000548,Brent 028D
E01000549,Brent 028E
E01000550,Brent 034B
E01000551,Brent 034C
E01000552,Brent 034D
E01000553,Brent 015A
E01000554,Brent 015B
E01000555,Brent 015C
E01000556,Brent 015D
E01000557,Brent 015E
E01000558,Brent 015F
E01000559,Brent 018E
E01000560,Brent 023D
E01000561,Brent 023E
E01000562,Brent 008A
E01000563,Brent 008B
E01000564,Brent 013A
E01000565,Brent 013B
E01000566,Brent 008C
E01000567,Brent 016A
E01000568,Brent 008D
E01000569,Brent 008E
E01000570,Brent 012A
E01000571,Brent 012B
E01000572,Brent 007A
E01000573,Brent 007B
E01000574,Brent 007C
E01000575,Brent 007D
E01000576,Brent 012C
E01000577,Brent 007E
E01000578,Brent 012D
E01000579,Brent 032A
E01000580,Brent 032B
E01000581,Brent 030E
E01000582,Brent 032C
E01000583,Brent 032D
E01000584,Brent 033E
E01000585,Brent 033F
E01000586,Brent 032E
E01000587,Brent 001A
E01000588,Brent 002E
E01000589,Brent 001B
E01000590,Brent 001C
E01000591,Brent 003F
E01000592,Brent 001D
E01000593,Brent 001E
E01000594,Brent 001F
E01000595,Brent 027A
E01000596,Brent 021A
E01000599,Brent 027D
E01000600,Brent 027E
E01000601,Brent 021B
E01000602,Brent 021C
E01000603,Brent 021D
E01000604,Brent 021E
E01000605,Brent 021F
E01000606,Brent 016B
E01000607,Brent 013C
E01000608,Brent 013D
E01000609,Brent 016C
E01000610,Brent 019A
E01000611,Brent 016D
E01000612,Brent 019B
E01000613,Brent 013E
E01000615,Brent 017B
E01000616,Brent 020A
E01000617,Brent 017C
E01000618,Brent 017D
E01000619,Brent 017E
E01000620,Brent 020B
E01000621,Brent 020C
E01000622,Brent 010D
E01000623,Brent 005C
E01000624,Brent 005D
E01000625,Brent 009E
E01000626,Brent 010E
E01000627,Brent 014E
E01000628,Brent 014F
E01000629,Brent 005E
E01000630,Brent 026E
E01000631,Brent 019C
E01000632,Brent 029E
E01000633,Brent 019D
E01000634,Brent 019E
E01000635,Brent 020D
E01000636,Brent 020E
E01000637,Brent 022B
E01000638,Brent 024A
E01000639,Brent 022C
E01000640,Brent 024B
E01000641,Brent 024C
E01000642,Brent 022D
E01000643,Brent 024D
E01000644,Brent 022E
E01000645,Bromley 007A
E01000646,Bromley 016A
E01000647,Bromley 016B
E01000648,Bromley 016C
E01000649,Bromley 007B
E01000650,Bromley 022A
E01000651,Bromley 020A
E01000652,Bromley 022B
E01000653,Bromley 016D
E01000654,Bromley 039A
E01000655,Bromley 039B
E01000656,Bromley 039C
E01000657,Bromley 039D
E01000658,Bromley 042A
E01000659,Bromley 039E
E01000661,Bromley 026A
E01000662,Bromley 026B
E01000663,Bromley 026C
E01000664,Bromley 026D
E01000665,Bromley 033A
E01000666,Bromley 033B
E01000667,Bromley 033C
E01000668,Bromley 020B
E01000669,Bromley 020C
E01000670,Bromley 018A
E01000671,Bromley 020D
E01000672,Bromley 011A
E01000673,Bromley 011B
E01000674,Bromley 008A
E01000675,Bromley 018B
E01000676,Bromley 008B
E01000677,Bromley 018C
E01000678,Bromley 016E
E01000679,Bromley 020E
E01000680,Bromley 037A
E01000681,Bromley 035A
E01000682,Bromley 035B
E01000683,Bromley 035C
E01000684,Bromley 035D
E01000685,Bromley 037B
E01000686,Bromley 037C
E01000687,Bromley 037D
E01000688,Bromley 037E
E01000689,Bromley 002A
E01000690,Bromley 002B
E01000691,Bromley 002C
E01000692,Bromley 002D
E01000693,Bromley 010A
E01000694,Bromley 007C
E01000695,Bromley 007D
E01000696,Bromley 007E
E01000697,Bromley 007F
E01000698,Bromley 010B
E01000699,Bromley 015A
E01000700,Bromley 013A
E01000701,Bromley 015B
E01000702,Bromley 013B
E01000703,Bromley 013C
E01000704,Bromley 015C
E01000705,Bromley 015D
E01000706,Bromley 013D
E01000707,Bromley 041A
E01000708,Bromley 041B
E01000709,Bromley 006A
E01000710,Bromley 006B
E01000711,Bromley 006C
E01000712,Bromley 012A
E01000713,Bromley 012B
E01000714,Bromley 006D
E01000715,Bromley 012C
E01000716,Bromley 011C
E01000717,Bromley 011D
E01000718,Bromley 006E
E01000719,Bromley 019A
E01000720,Bromley 019B
E01000721,Bromley 019C
E01000722,Bromley 023A
E01000723,Bromley 029A
E01000724,Bromley 019D
E01000725,Bromley 023B
E01000726,Bromley 029B
E01000727,Bromley 028A
E01000728,Bromley 019E
E01000729,Bromley 014A
E01000730,Bromley 014B
E01000731,Bromley 023C
E01000732,Bromley 023D
E01000733,Bromley 023E
E01000734,Bromley 028B
E01000735,Bromley 014C
E01000736,Bromley 010C
E01000737,Bromley 010D
E01000738,Bromley 014D
E01000739,Bromley 014E
E01000740,Bromley 005A
E01000741,Bromley 005B
E01000742,Bromley 005C
E01000743,Bromley 009A
E01000744,Bromley 009B
E01000745,Bromley 005D
E01000746,Bromley 005E
E01000747,Bromley 042B
E01000748,Bromley 042C
E01000749,Bromley 036A
E01000750,Bromley 036B
E01000751,Bromley 036C
E01000752,Bromley 036D
E01000753,Bromley 031A
E01000754,Bromley 031B
E01000755,Bromley 031C
